,sales,date,region
551,1566,6/23/2018,west
552,1563,6/24/2018,north
553,1623,6/24/2018,south
554,1530,6/24/2018,east
555,1662,6/24/2018,west
556,1650,6/25/2018,north
557,1602,6/25/2018,south
558,1548,6/25/2018,east
559,1623,6/25/2018,west
560,1728,6/26/2018,north
561,1533,6/26/2018,south
562,1503,6/26/2018,east
563,1629,6/26/2018,west
564,1581,6/27/2018,north
565,1659,6/27/2018,south
566,1707,6/27/2018,east
567,1665,6/27/2018,west
568,1563,6/28/2018,north
569,1638,6/28/2018,south
570,1692,6/28/2018,east
571,1503,6/28/2018,west
572,1686,6/29/2018,north
573,1764,6/29/2018,south
574,1629,6/29/2018,east
575,1779,6/29/2018,west
576,1554,6/30/2018,north
577,1653,6/30/2018,south
578,1515,6/30/2018,east
579,1557,6/30/2018,west
580,1746,7/1/2018,north
581,1671,7/1/2018,south
582,1716,7/1/2018,east
583,1554,7/1/2018,west
584,1695,7/2/2018,north
585,1611,7/2/2018,south
586,1680,7/2/2018,east
587,1671,7/2/2018,west
588,1644,7/3/2018,north
589,1638,7/3/2018,south
590,1623,7/3/2018,east
591,1515,7/3/2018,west
592,1743,7/4/2018,north
593,1587,7/4/2018,south
594,1764,7/4/2018,east
595,1572,7/4/2018,west
596,1752,7/5/2018,north
597,1647,7/5/2018,south
598,1575,7/5/2018,east
599,1500,7/5/2018,west
600,1743,7/6/2018,north
601,1566,7/6/2018,south
602,1758,7/6/2018,east
603,1689,7/6/2018,west
604,1776,7/7/2018,north
605,1770,7/7/2018,south
606,1695,7/7/2018,east
607,1566,7/7/2018,west
608,1623,7/8/2018,north
609,1776,7/8/2018,south
610,1515,7/8/2018,east
611,1761,7/8/2018,west
612,1623,7/9/2018,north
613,1788,7/9/2018,south
614,1542,7/9/2018,east
615,1515,7/9/2018,west
616,1794,7/10/2018,north
617,1794,7/10/2018,south
618,1755,7/10/2018,east
619,1761,7/10/2018,west
620,1605,7/11/2018,north
621,1569,7/11/2018,south
622,1638,7/11/2018,east
623,1677,7/11/2018,west
624,1593,7/12/2018,north
625,1500,7/12/2018,south
626,1539,7/12/2018,east
627,1719,7/12/2018,west
628,1749,7/13/2018,north
629,1596,7/13/2018,south
630,1680,7/13/2018,east
631,1509,7/13/2018,west
632,1500,7/14/2018,north
633,1653,7/14/2018,south
634,1620,7/14/2018,east
635,1575,7/14/2018,west
636,1737,7/15/2018,north
637,1713,7/15/2018,south
638,1698,7/15/2018,east
639,1539,7/15/2018,west
640,1773,7/16/2018,north
641,1707,7/16/2018,south
642,1554,7/16/2018,east
643,1515,7/16/2018,west
644,1551,7/17/2018,north
645,1566,7/17/2018,south
646,1788,7/17/2018,east
647,1614,7/17/2018,west
648,1704,7/18/2018,north
649,1656,7/18/2018,south
650,1530,7/18/2018,east
651,1659,7/18/2018,west
652,1620,7/19/2018,north
653,1725,7/19/2018,south
654,1704,7/19/2018,east
655,1527,7/19/2018,west
656,1731,7/20/2018,north
657,1761,7/20/2018,south
658,1644,7/20/2018,east
659,1653,7/20/2018,west
660,1725,7/21/2018,north
661,1698,7/21/2018,south
662,1662,7/21/2018,east
663,1656,7/21/2018,west
664,1608,7/22/2018,north
665,1773,7/22/2018,south
666,1659,7/22/2018,east
667,1647,7/22/2018,west
668,1638,7/23/2018,north
669,1623,7/23/2018,south
670,1719,7/23/2018,east
671,1629,7/23/2018,west
672,1701,7/24/2018,north
673,1725,7/24/2018,south
674,1752,7/24/2018,east
675,1557,7/24/2018,west
676,1500,7/25/2018,north
677,1707,7/25/2018,south
678,1533,7/25/2018,east
679,1737,7/25/2018,west
680,1605,7/26/2018,north
681,1767,7/26/2018,south
682,1551,7/26/2018,east
683,1521,7/26/2018,west
684,1659,7/27/2018,north
685,1611,7/27/2018,south
686,1695,7/27/2018,east
687,1632,7/27/2018,west
688,1515,7/28/2018,north
689,1584,7/28/2018,south
690,1596,7/28/2018,east
691,1743,7/28/2018,west
692,1791,7/29/2018,north
693,1599,7/29/2018,south
694,1749,7/29/2018,east
695,1755,7/29/2018,west
696,1755,7/30/2018,north
697,1662,7/30/2018,south
698,1509,7/30/2018,east
699,1776,7/30/2018,west
700,1695,7/31/2018,north
701,1707,7/31/2018,south
702,1548,7/31/2018,east
703,1578,7/31/2018,west
704,1563,8/1/2018,north
705,1674,8/1/2018,south
706,1554,8/1/2018,east
707,1665,8/1/2018,west
708,1527,8/2/2018,north
709,1617,8/2/2018,south
710,1548,8/2/2018,east
711,1671,8/2/2018,west
712,1668,8/3/2018,north
713,1671,8/3/2018,south
714,1719,8/3/2018,east
715,1668,8/3/2018,west
716,1536,8/4/2018,north
717,1734,8/4/2018,south
718,1743,8/4/2018,east
719,1776,8/4/2018,west
720,1650,8/5/2018,north
721,1599,8/5/2018,south
722,1614,8/5/2018,east
723,1773,8/5/2018,west
724,1611,8/6/2018,north
725,1605,8/6/2018,south
726,1554,8/6/2018,east
727,1788,8/6/2018,west
728,1566,8/7/2018,north
729,1560,8/7/2018,south
730,1551,8/7/2018,east
731,1626,8/7/2018,west
732,1665,8/8/2018,north
733,1539,8/8/2018,south
734,1506,8/8/2018,east
735,1617,8/8/2018,west
736,1797,8/9/2018,north
737,1794,8/9/2018,south
738,1620,8/9/2018,east
739,1683,8/9/2018,west
740,1620,8/10/2018,north
741,1554,8/10/2018,south
742,1701,8/10/2018,east
743,1785,8/10/2018,west
744,1689,8/11/2018,north
745,1650,8/11/2018,south
746,1533,8/11/2018,east
747,1587,8/11/2018,west
748,1509,8/12/2018,north
749,1743,8/12/2018,south
750,1719,8/12/2018,east
751,1743,8/12/2018,west
752,1701,8/13/2018,north
753,1629,8/13/2018,south
754,1638,8/13/2018,east
755,1611,8/13/2018,west
756,1623,8/14/2018,north
757,1635,8/14/2018,south
758,1716,8/14/2018,east
759,1707,8/14/2018,west
760,1602,8/15/2018,north
761,1542,8/15/2018,south
762,1800,8/15/2018,east
763,1734,8/15/2018,west
764,1788,8/16/2018,north
765,1614,8/16/2018,south
766,1743,8/16/2018,east
767,1770,8/16/2018,west
768,1776,8/17/2018,north
769,1713,8/17/2018,south
770,1623,8/17/2018,east
771,1752,8/17/2018,west
772,1527,8/18/2018,north
773,1776,8/18/2018,south
774,1689,8/18/2018,east
775,1713,8/18/2018,west
776,1509,8/19/2018,north
777,1575,8/19/2018,south
778,1701,8/19/2018,east
779,1575,8/19/2018,west
780,1581,8/20/2018,north
781,1779,8/20/2018,south
782,1662,8/20/2018,east
783,1506,8/20/2018,west
784,1794,8/21/2018,north
785,1659,8/21/2018,south
786,1644,8/21/2018,east
787,1707,8/21/2018,west
788,1704,8/22/2018,north
789,1500,8/22/2018,south
790,1539,8/22/2018,east
791,1800,8/22/2018,west
792,1557,8/23/2018,north
793,1554,8/23/2018,south
794,1788,8/23/2018,east
795,1563,8/23/2018,west
796,1548,8/24/2018,north
797,1560,8/24/2018,south
798,1734,8/24/2018,east
799,1644,8/24/2018,west
800,1629,8/25/2018,north
801,1677,8/25/2018,south
802,1764,8/25/2018,east
803,1515,8/25/2018,west
804,1542,8/26/2018,north
805,1545,8/26/2018,south
806,1668,8/26/2018,east
807,1584,8/26/2018,west
808,1605,8/27/2018,north
809,1740,8/27/2018,south
810,1602,8/27/2018,east
811,1509,8/27/2018,west
812,1566,8/28/2018,north
813,1680,8/28/2018,south
814,1656,8/28/2018,east
815,1722,8/28/2018,west
816,1662,8/29/2018,north
817,1794,8/29/2018,south
818,1734,8/29/2018,east
819,1647,8/29/2018,west
820,1635,8/30/2018,north
821,1743,8/30/2018,south
822,1665,8/30/2018,east
823,1770,8/30/2018,west
824,1749,8/31/2018,north
825,1695,8/31/2018,south
826,1644,8/31/2018,east
827,1602,8/31/2018,west
828,1560,9/1/2018,north
829,1500,9/1/2018,south
830,1719,9/1/2018,east
831,1557,9/1/2018,west
832,1527,9/2/2018,north
833,1653,9/2/2018,south
834,1506,9/2/2018,east
835,1575,9/2/2018,west
836,1749,9/3/2018,north
837,1770,9/3/2018,south
838,1674,9/3/2018,east
839,1650,9/3/2018,west
840,1794,9/4/2018,north
841,1509,9/4/2018,south
842,1785,9/4/2018,east
843,1539,9/4/2018,west
844,1731,9/5/2018,north
845,1617,9/5/2018,south
846,1656,9/5/2018,east
847,1599,9/5/2018,west
848,1713,9/6/2018,north
849,1506,9/6/2018,south
850,1758,9/6/2018,east
851,1650,9/6/2018,west
852,1791,9/7/2018,north
853,1623,9/7/2018,south
854,1776,9/7/2018,east
855,1653,9/7/2018,west
856,1659,9/8/2018,north
857,1755,9/8/2018,south
858,1533,9/8/2018,east
859,1557,9/8/2018,west
860,1527,9/9/2018,north
861,1614,9/9/2018,south
862,1638,9/9/2018,east
863,1704,9/9/2018,west
864,1650,9/10/2018,north
865,1656,9/10/2018,south
866,1782,9/10/2018,east
867,1527,9/10/2018,west
868,1578,9/11/2018,north
869,1767,9/11/2018,south
870,1749,9/11/2018,east
871,1524,9/11/2018,west
872,1719,9/12/2018,north
873,1695,9/12/2018,south
874,1740,9/12/2018,east
875,1533,9/12/2018,west
876,1653,9/13/2018,north
877,1560,9/13/2018,south
878,1677,9/13/2018,east
879,1539,9/13/2018,west
880,1713,9/14/2018,north
881,1554,9/14/2018,south
882,1743,9/14/2018,east
883,1701,9/14/2018,west
884,1587,9/15/2018,north
885,1512,9/15/2018,south
886,1698,9/15/2018,east
887,1746,9/15/2018,west
888,1554,9/16/2018,north
889,1554,9/16/2018,south
890,1782,9/16/2018,east
891,1782,9/16/2018,west
892,1764,9/17/2018,north
893,1620,9/17/2018,south
894,1545,9/17/2018,east
895,1722,9/17/2018,west
896,1503,9/18/2018,north
897,1530,9/18/2018,south
898,1737,9/18/2018,east
899,1692,9/18/2018,west
900,1542,9/19/2018,north
901,1758,9/19/2018,south
902,1779,9/19/2018,east
903,1593,9/19/2018,west
904,1686,9/20/2018,north
905,1749,9/20/2018,south
906,1662,9/20/2018,east
907,1569,9/20/2018,west
908,1590,9/21/2018,north
909,1665,9/21/2018,south
910,1716,9/21/2018,east
911,1704,9/21/2018,west
912,1632,9/22/2018,north
913,1581,9/22/2018,south
914,1758,9/22/2018,east
915,1641,9/22/2018,west
916,1731,9/23/2018,north
917,1677,9/23/2018,south
918,1728,9/23/2018,east
919,1755,9/23/2018,west
920,1611,9/24/2018,north
921,1593,9/24/2018,south
922,1797,9/24/2018,east
923,1560,9/24/2018,west
924,1530,9/25/2018,north
925,1770,9/25/2018,south
926,1611,9/25/2018,east
927,1701,9/25/2018,west
928,1617,9/26/2018,north
929,1515,9/26/2018,south
930,1713,9/26/2018,east
931,1500,9/26/2018,west
932,1632,9/27/2018,north
933,1713,9/27/2018,south
934,1743,9/27/2018,east
935,1587,9/27/2018,west
936,1749,9/28/2018,north
937,1533,9/28/2018,south
938,1653,9/28/2018,east
939,1512,9/28/2018,west
940,1518,9/29/2018,north
941,1623,9/29/2018,south
942,1701,9/29/2018,east
943,1596,9/29/2018,west
944,1746,9/30/2018,north
945,1536,9/30/2018,south
946,1659,9/30/2018,east
947,1524,9/30/2018,west
948,1782,10/1/2018,north
949,1632,10/1/2018,south
950,1755,10/1/2018,east
951,1650,10/1/2018,west
952,1680,10/2/2018,north
953,1701,10/2/2018,south
954,1800,10/2/2018,east
955,1740,10/2/2018,west
956,1563,10/3/2018,north
957,1788,10/3/2018,south
958,1536,10/3/2018,east
959,1764,10/3/2018,west
960,1512,10/4/2018,north
961,1560,10/4/2018,south
962,1626,10/4/2018,east
963,1797,10/4/2018,west
964,1779,10/5/2018,north
965,1683,10/5/2018,south
966,1713,10/5/2018,east
967,1794,10/5/2018,west
968,1584,10/6/2018,north
969,1647,10/6/2018,south
970,1596,10/6/2018,east
971,1515,10/6/2018,west
972,1533,10/7/2018,north
973,1608,10/7/2018,south
974,1794,10/7/2018,east
975,1578,10/7/2018,west
976,1701,10/8/2018,north
977,1617,10/8/2018,south
978,1779,10/8/2018,east
979,1785,10/8/2018,west
980,1680,10/9/2018,north
981,1590,10/9/2018,south
982,1551,10/9/2018,east
983,1587,10/9/2018,west
984,1749,10/10/2018,north
985,1701,10/10/2018,south
986,1599,10/10/2018,east
987,1506,10/10/2018,west
988,1596,10/11/2018,north
989,1800,10/11/2018,south
990,1749,10/11/2018,east
991,1674,10/11/2018,west
992,1782,10/12/2018,north
993,1647,10/12/2018,south
994,1542,10/12/2018,east
995,1656,10/12/2018,west
996,1581,10/13/2018,north
997,1713,10/13/2018,south
