product,price,quantity,date,region
periwinkle morsel,$1.25 ,531,10/14/2020,west
vermilion morsel,$4.99 ,546,10/14/2020,north
vermilion morsel,$4.99 ,520,10/14/2020,south
vermilion morsel,$4.99 ,597,10/14/2020,east
vermilion morsel,$4.99 ,598,10/14/2020,west
lapis morsel,$1.99 ,503,10/14/2020,north
lapis morsel,$1.99 ,579,10/14/2020,south
lapis morsel,$1.99 ,528,10/14/2020,east
lapis morsel,$1.99 ,595,10/14/2020,west
pink morsel,$3.00 ,506,10/15/2020,north
pink morsel,$3.00 ,567,10/15/2020,south
pink morsel,$3.00 ,572,10/15/2020,east
pink morsel,$3.00 ,521,10/15/2020,west
gold morsel,$9.99 ,595,10/15/2020,north
gold morsel,$9.99 ,582,10/15/2020,south
gold morsel,$9.99 ,596,10/15/2020,east
gold morsel,$9.99 ,561,10/15/2020,west
magenta morsel,$2.50 ,527,10/15/2020,north
magenta morsel,$2.50 ,513,10/15/2020,south
magenta morsel,$2.50 ,534,10/15/2020,east
magenta morsel,$2.50 ,519,10/15/2020,west
chartreuse morsel,$3.00 ,542,10/15/2020,north
chartreuse morsel,$3.00 ,569,10/15/2020,south
chartreuse morsel,$3.00 ,505,10/15/2020,east
chartreuse morsel,$3.00 ,586,10/15/2020,west
periwinkle morsel,$1.25 ,560,10/15/2020,north
periwinkle morsel,$1.25 ,596,10/15/2020,south
periwinkle morsel,$1.25 ,574,10/15/2020,east
periwinkle morsel,$1.25 ,578,10/15/2020,west
vermilion morsel,$4.99 ,541,10/15/2020,north
vermilion morsel,$4.99 ,563,10/15/2020,south
vermilion morsel,$4.99 ,583,10/15/2020,east
vermilion morsel,$4.99 ,568,10/15/2020,west
lapis morsel,$1.99 ,549,10/15/2020,north
lapis morsel,$1.99 ,598,10/15/2020,south
lapis morsel,$1.99 ,595,10/15/2020,east
lapis morsel,$1.99 ,528,10/15/2020,west
pink morsel,$3.00 ,546,10/16/2020,north
pink morsel,$3.00 ,563,10/16/2020,south
pink morsel,$3.00 ,505,10/16/2020,east
pink morsel,$3.00 ,544,10/16/2020,west
gold morsel,$9.99 ,502,10/16/2020,north
gold morsel,$9.99 ,521,10/16/2020,south
gold morsel,$9.99 ,599,10/16/2020,east
gold morsel,$9.99 ,541,10/16/2020,west
magenta morsel,$2.50 ,591,10/16/2020,north
magenta morsel,$2.50 ,510,10/16/2020,south
magenta morsel,$2.50 ,575,10/16/2020,east
magenta morsel,$2.50 ,503,10/16/2020,west
chartreuse morsel,$3.00 ,585,10/16/2020,north
chartreuse morsel,$3.00 ,501,10/16/2020,south
chartreuse morsel,$3.00 ,566,10/16/2020,east
chartreuse morsel,$3.00 ,556,10/16/2020,west
periwinkle morsel,$1.25 ,519,10/16/2020,north
periwinkle morsel,$1.25 ,520,10/16/2020,south
periwinkle morsel,$1.25 ,501,10/16/2020,east
periwinkle morsel,$1.25 ,583,10/16/2020,west
vermilion morsel,$4.99 ,586,10/16/2020,north
vermilion morsel,$4.99 ,503,10/16/2020,south
vermilion morsel,$4.99 ,540,10/16/2020,east
vermilion morsel,$4.99 ,563,10/16/2020,west
lapis morsel,$1.99 ,563,10/16/2020,north
lapis morsel,$1.99 ,516,10/16/2020,south
lapis morsel,$1.99 ,520,10/16/2020,east
lapis morsel,$1.99 ,517,10/16/2020,west
pink morsel,$3.00 ,503,10/17/2020,north
pink morsel,$3.00 ,597,10/17/2020,south
pink morsel,$3.00 ,503,10/17/2020,east
pink morsel,$3.00 ,592,10/17/2020,west
gold morsel,$9.99 ,586,10/17/2020,north
gold morsel,$9.99 ,569,10/17/2020,south
gold morsel,$9.99 ,565,10/17/2020,east
gold morsel,$9.99 ,538,10/17/2020,west
magenta morsel,$2.50 ,507,10/17/2020,north
magenta morsel,$2.50 ,523,10/17/2020,south
magenta morsel,$2.50 ,598,10/17/2020,east
magenta morsel,$2.50 ,553,10/17/2020,west
chartreuse morsel,$3.00 ,579,10/17/2020,north
chartreuse morsel,$3.00 ,525,10/17/2020,south
chartreuse morsel,$3.00 ,594,10/17/2020,east
chartreuse morsel,$3.00 ,571,10/17/2020,west
periwinkle morsel,$1.25 ,589,10/17/2020,north
periwinkle morsel,$1.25 ,560,10/17/2020,south
periwinkle morsel,$1.25 ,516,10/17/2020,east
periwinkle morsel,$1.25 ,572,10/17/2020,west
vermilion morsel,$4.99 ,568,10/17/2020,north
vermilion morsel,$4.99 ,528,10/17/2020,south
vermilion morsel,$4.99 ,511,10/17/2020,east
vermilion morsel,$4.99 ,509,10/17/2020,west
lapis morsel,$1.99 ,532,10/17/2020,north
lapis morsel,$1.99 ,543,10/17/2020,south
lapis morsel,$1.99 ,547,10/17/2020,east
lapis morsel,$1.99 ,568,10/17/2020,west
pink morsel,$3.00 ,508,10/18/2020,north
pink morsel,$3.00 ,572,10/18/2020,south
pink morsel,$3.00 ,526,10/18/2020,east
pink morsel,$3.00 ,571,10/18/2020,west
gold morsel,$9.99 ,585,10/18/2020,north
gold morsel,$9.99 ,557,10/18/2020,south
gold morsel,$9.99 ,578,10/18/2020,east
gold morsel,$9.99 ,526,10/18/2020,west
magenta morsel,$2.50 ,584,10/18/2020,north
magenta morsel,$2.50 ,587,10/18/2020,south
magenta morsel,$2.50 ,522,10/18/2020,east
magenta morsel,$2.50 ,519,10/18/2020,west
chartreuse morsel,$3.00 ,533,10/18/2020,north
chartreuse morsel,$3.00 ,507,10/18/2020,south
chartreuse morsel,$3.00 ,536,10/18/2020,east
chartreuse morsel,$3.00 ,583,10/18/2020,west
periwinkle morsel,$1.25 ,577,10/18/2020,north
periwinkle morsel,$1.25 ,535,10/18/2020,south
periwinkle morsel,$1.25 ,567,10/18/2020,east
periwinkle morsel,$1.25 ,518,10/18/2020,west
vermilion morsel,$4.99 ,513,10/18/2020,north
vermilion morsel,$4.99 ,598,10/18/2020,south
vermilion morsel,$4.99 ,599,10/18/2020,east
vermilion morsel,$4.99 ,558,10/18/2020,west
lapis morsel,$1.99 ,592,10/18/2020,north
lapis morsel,$1.99 ,590,10/18/2020,south
lapis morsel,$1.99 ,542,10/18/2020,east
lapis morsel,$1.99 ,600,10/18/2020,west
pink morsel,$3.00 ,552,10/19/2020,north
pink morsel,$3.00 ,575,10/19/2020,south
pink morsel,$3.00 ,518,10/19/2020,east
pink morsel,$3.00 ,508,10/19/2020,west
gold morsel,$9.99 ,558,10/19/2020,north
gold morsel,$9.99 ,572,10/19/2020,south
gold morsel,$9.99 ,529,10/19/2020,east
gold morsel,$9.99 ,539,10/19/2020,west
magenta morsel,$2.50 ,551,10/19/2020,north
magenta morsel,$2.50 ,562,10/19/2020,south
magenta morsel,$2.50 ,592,10/19/2020,east
magenta morsel,$2.50 ,560,10/19/2020,west
chartreuse morsel,$3.00 ,536,10/19/2020,north
chartreuse morsel,$3.00 ,555,10/19/2020,south
chartreuse morsel,$3.00 ,560,10/19/2020,east
chartreuse morsel,$3.00 ,524,10/19/2020,west
periwinkle morsel,$1.25 ,582,10/19/2020,north
periwinkle morsel,$1.25 ,521,10/19/2020,south
periwinkle morsel,$1.25 ,540,10/19/2020,east
periwinkle morsel,$1.25 ,600,10/19/2020,west
vermilion morsel,$4.99 ,510,10/19/2020,north
vermilion morsel,$4.99 ,528,10/19/2020,south
vermilion morsel,$4.99 ,501,10/19/2020,east
vermilion morsel,$4.99 ,510,10/19/2020,west
lapis morsel,$1.99 ,559,10/19/2020,north
lapis morsel,$1.99 ,592,10/19/2020,south
lapis morsel,$1.99 ,520,10/19/2020,east
lapis morsel,$1.99 ,594,10/19/2020,west
pink morsel,$3.00 ,523,10/20/2020,north
pink morsel,$3.00 ,586,10/20/2020,south
pink morsel,$3.00 ,586,10/20/2020,east
pink morsel,$3.00 ,538,10/20/2020,west
gold morsel,$9.99 ,536,10/20/2020,north
gold morsel,$9.99 ,573,10/20/2020,south
gold morsel,$9.99 ,586,10/20/2020,east
gold morsel,$9.99 ,554,10/20/2020,west
magenta morsel,$2.50 ,531,10/20/2020,north
magenta morsel,$2.50 ,518,10/20/2020,south
magenta morsel,$2.50 ,548,10/20/2020,east
magenta morsel,$2.50 ,517,10/20/2020,west
chartreuse morsel,$3.00 ,518,10/20/2020,north
chartreuse morsel,$3.00 ,527,10/20/2020,south
chartreuse morsel,$3.00 ,563,10/20/2020,east
chartreuse morsel,$3.00 ,539,10/20/2020,west
periwinkle morsel,$1.25 ,528,10/20/2020,north
periwinkle morsel,$1.25 ,588,10/20/2020,south
periwinkle morsel,$1.25 ,560,10/20/2020,east
periwinkle morsel,$1.25 ,536,10/20/2020,west
vermilion morsel,$4.99 ,600,10/20/2020,north
vermilion morsel,$4.99 ,588,10/20/2020,south
vermilion morsel,$4.99 ,544,10/20/2020,east
vermilion morsel,$4.99 ,546,10/20/2020,west
lapis morsel,$1.99 ,590,10/20/2020,north
lapis morsel,$1.99 ,561,10/20/2020,south
lapis morsel,$1.99 ,518,10/20/2020,east
lapis morsel,$1.99 ,579,10/20/2020,west
pink morsel,$3.00 ,580,10/21/2020,north
pink morsel,$3.00 ,507,10/21/2020,south
pink morsel,$3.00 ,574,10/21/2020,east
pink morsel,$3.00 ,535,10/21/2020,west
gold morsel,$9.99 ,554,10/21/2020,north
gold morsel,$9.99 ,586,10/21/2020,south
gold morsel,$9.99 ,590,10/21/2020,east
gold morsel,$9.99 ,586,10/21/2020,west
magenta morsel,$2.50 ,558,10/21/2020,north
magenta morsel,$2.50 ,518,10/21/2020,south
magenta morsel,$2.50 ,510,10/21/2020,east
magenta morsel,$2.50 ,505,10/21/2020,west
chartreuse morsel,$3.00 ,596,10/21/2020,north
chartreuse morsel,$3.00 ,533,10/21/2020,south
chartreuse morsel,$3.00 ,564,10/21/2020,east
chartreuse morsel,$3.00 ,547,10/21/2020,west
periwinkle morsel,$1.25 ,539,10/21/2020,north
periwinkle morsel,$1.25 ,513,10/21/2020,south
periwinkle morsel,$1.25 ,561,10/21/2020,east
periwinkle morsel,$1.25 ,547,10/21/2020,west
vermilion morsel,$4.99 ,586,10/21/2020,north
vermilion morsel,$4.99 ,577,10/21/2020,south
vermilion morsel,$4.99 ,521,10/21/2020,east
vermilion morsel,$4.99 ,600,10/21/2020,west
lapis morsel,$1.99 ,533,10/21/2020,north
lapis morsel,$1.99 ,561,10/21/2020,south
lapis morsel,$1.99 ,553,10/21/2020,east
lapis morsel,$1.99 ,561,10/21/2020,west
pink morsel,$3.00 ,583,10/22/2020,north
pink morsel,$3.00 ,546,10/22/2020,south
pink morsel,$3.00 ,570,10/22/2020,east
pink morsel,$3.00 ,556,10/22/2020,west
gold morsel,$9.99 ,531,10/22/2020,north
gold morsel,$9.99 ,590,10/22/2020,south
gold morsel,$9.99 ,553,10/22/2020,east
gold morsel,$9.99 ,510,10/22/2020,west
magenta morsel,$2.50 ,505,10/22/2020,north
magenta morsel,$2.50 ,596,10/22/2020,south
magenta morsel,$2.50 ,586,10/22/2020,east
magenta morsel,$2.50 ,584,10/22/2020,west
chartreuse morsel,$3.00 ,545,10/22/2020,north
chartreuse morsel,$3.00 ,518,10/22/2020,south
chartreuse morsel,$3.00 ,517,10/22/2020,east
chartreuse morsel,$3.00 ,595,10/22/2020,west
periwinkle morsel,$1.25 ,534,10/22/2020,north
periwinkle morsel,$1.25 ,504,10/22/2020,south
periwinkle morsel,$1.25 ,531,10/22/2020,east
periwinkle morsel,$1.25 ,575,10/22/2020,west
vermilion morsel,$4.99 ,593,10/22/2020,north
vermilion morsel,$4.99 ,533,10/22/2020,south
vermilion morsel,$4.99 ,570,10/22/2020,east
vermilion morsel,$4.99 ,573,10/22/2020,west
lapis morsel,$1.99 ,533,10/22/2020,north
lapis morsel,$1.99 ,579,10/22/2020,south
lapis morsel,$1.99 ,592,10/22/2020,east
lapis morsel,$1.99 ,554,10/22/2020,west
pink morsel,$3.00 ,545,10/23/2020,north
pink morsel,$3.00 ,511,10/23/2020,south
pink morsel,$3.00 ,545,10/23/2020,east
pink morsel,$3.00 ,525,10/23/2020,west
gold morsel,$9.99 ,561,10/23/2020,north
gold morsel,$9.99 ,594,10/23/2020,south
gold morsel,$9.99 ,570,10/23/2020,east
gold morsel,$9.99 ,508,10/23/2020,west
magenta morsel,$2.50 ,566,10/23/2020,north
magenta morsel,$2.50 ,562,10/23/2020,south
magenta morsel,$2.50 ,535,10/23/2020,east
magenta morsel,$2.50 ,598,10/23/2020,west
chartreuse morsel,$3.00 ,595,10/23/2020,north
chartreuse morsel,$3.00 ,519,10/23/2020,south
chartreuse morsel,$3.00 ,585,10/23/2020,east
chartreuse morsel,$3.00 ,533,10/23/2020,west
periwinkle morsel,$1.25 ,556,10/23/2020,north
periwinkle morsel,$1.25 ,579,10/23/2020,south
periwinkle morsel,$1.25 ,525,10/23/2020,east
periwinkle morsel,$1.25 ,524,10/23/2020,west
vermilion morsel,$4.99 ,550,10/23/2020,north
vermilion morsel,$4.99 ,560,10/23/2020,south
vermilion morsel,$4.99 ,528,10/23/2020,east
vermilion morsel,$4.99 ,531,10/23/2020,west
lapis morsel,$1.99 ,577,10/23/2020,north
lapis morsel,$1.99 ,521,10/23/2020,south
lapis morsel,$1.99 ,520,10/23/2020,east
lapis morsel,$1.99 ,598,10/23/2020,west
pink morsel,$3.00 ,579,10/24/2020,north
pink morsel,$3.00 ,531,10/24/2020,south
pink morsel,$3.00 ,569,10/24/2020,east
pink morsel,$3.00 ,512,10/24/2020,west
gold morsel,$9.99 ,533,10/24/2020,north
gold morsel,$9.99 ,580,10/24/2020,south
gold morsel,$9.99 ,561,10/24/2020,east
gold morsel,$9.99 ,500,10/24/2020,west
magenta morsel,$2.50 ,576,10/24/2020,north
magenta morsel,$2.50 ,593,10/24/2020,south
magenta morsel,$2.50 ,556,10/24/2020,east
magenta morsel,$2.50 ,535,10/24/2020,west
chartreuse morsel,$3.00 ,521,10/24/2020,north
chartreuse morsel,$3.00 ,523,10/24/2020,south
chartreuse morsel,$3.00 ,520,10/24/2020,east
chartreuse morsel,$3.00 ,579,10/24/2020,west
periwinkle morsel,$1.25 ,503,10/24/2020,north
periwinkle morsel,$1.25 ,506,10/24/2020,south
periwinkle morsel,$1.25 ,588,10/24/2020,east
periwinkle morsel,$1.25 ,550,10/24/2020,west
vermilion morsel,$4.99 ,530,10/24/2020,north
vermilion morsel,$4.99 ,542,10/24/2020,south
vermilion morsel,$4.99 ,575,10/24/2020,east
vermilion morsel,$4.99 ,582,10/24/2020,west
lapis morsel,$1.99 ,519,10/24/2020,north
lapis morsel,$1.99 ,533,10/24/2020,south
lapis morsel,$1.99 ,549,10/24/2020,east
lapis morsel,$1.99 ,522,10/24/2020,west
pink morsel,$3.00 ,563,10/25/2020,north
pink morsel,$3.00 ,560,10/25/2020,south
pink morsel,$3.00 ,535,10/25/2020,east
pink morsel,$3.00 ,539,10/25/2020,west
gold morsel,$9.99 ,520,10/25/2020,north
gold morsel,$9.99 ,579,10/25/2020,south
gold morsel,$9.99 ,516,10/25/2020,east
gold morsel,$9.99 ,537,10/25/2020,west
magenta morsel,$2.50 ,580,10/25/2020,north
magenta morsel,$2.50 ,513,10/25/2020,south
magenta morsel,$2.50 ,563,10/25/2020,east
magenta morsel,$2.50 ,507,10/25/2020,west
chartreuse morsel,$3.00 ,511,10/25/2020,north
chartreuse morsel,$3.00 ,542,10/25/2020,south
chartreuse morsel,$3.00 ,524,10/25/2020,east
chartreuse morsel,$3.00 ,549,10/25/2020,west
periwinkle morsel,$1.25 ,509,10/25/2020,north
periwinkle morsel,$1.25 ,571,10/25/2020,south
periwinkle morsel,$1.25 ,585,10/25/2020,east
periwinkle morsel,$1.25 ,595,10/25/2020,west
vermilion morsel,$4.99 ,585,10/25/2020,north
vermilion morsel,$4.99 ,530,10/25/2020,south
vermilion morsel,$4.99 ,536,10/25/2020,east
vermilion morsel,$4.99 ,587,10/25/2020,west
lapis morsel,$1.99 ,530,10/25/2020,north
lapis morsel,$1.99 ,541,10/25/2020,south
lapis morsel,$1.99 ,594,10/25/2020,east
lapis morsel,$1.99 ,583,10/25/2020,west
pink morsel,$3.00 ,582,10/26/2020,north
pink morsel,$3.00 ,506,10/26/2020,south
pink morsel,$3.00 ,552,10/26/2020,east
pink morsel,$3.00 ,514,10/26/2020,west
gold morsel,$9.99 ,536,10/26/2020,north
gold morsel,$9.99 ,598,10/26/2020,south
gold morsel,$9.99 ,558,10/26/2020,east
gold morsel,$9.99 ,520,10/26/2020,west
magenta morsel,$2.50 ,566,10/26/2020,north
magenta morsel,$2.50 ,502,10/26/2020,south
magenta morsel,$2.50 ,544,10/26/2020,east
magenta morsel,$2.50 ,516,10/26/2020,west
chartreuse morsel,$3.00 ,530,10/26/2020,north
chartreuse morsel,$3.00 ,577,10/26/2020,south
chartreuse morsel,$3.00 ,538,10/26/2020,east
chartreuse morsel,$3.00 ,568,10/26/2020,west
periwinkle morsel,$1.25 ,514,10/26/2020,north
periwinkle morsel,$1.25 ,594,10/26/2020,south
periwinkle morsel,$1.25 ,566,10/26/2020,east
periwinkle morsel,$1.25 ,502,10/26/2020,west
vermilion morsel,$4.99 ,593,10/26/2020,north
vermilion morsel,$4.99 ,596,10/26/2020,south
vermilion morsel,$4.99 ,571,10/26/2020,east
vermilion morsel,$4.99 ,507,10/26/2020,west
lapis morsel,$1.99 ,592,10/26/2020,north
lapis morsel,$1.99 ,576,10/26/2020,south
lapis morsel,$1.99 ,524,10/26/2020,east
lapis morsel,$1.99 ,585,10/26/2020,west
pink morsel,$3.00 ,527,10/27/2020,north
pink morsel,$3.00 ,572,10/27/2020,south
pink morsel,$3.00 ,561,10/27/2020,east
pink morsel,$3.00 ,506,10/27/2020,west
gold morsel,$9.99 ,529,10/27/2020,north
gold morsel,$9.99 ,524,10/27/2020,south
gold morsel,$9.99 ,579,10/27/2020,east
gold morsel,$9.99 ,590,10/27/2020,west
magenta morsel,$2.50 ,554,10/27/2020,north
magenta morsel,$2.50 ,525,10/27/2020,south
magenta morsel,$2.50 ,589,10/27/2020,east
magenta morsel,$2.50 ,540,10/27/2020,west
chartreuse morsel,$3.00 ,536,10/27/2020,north
chartreuse morsel,$3.00 ,550,10/27/2020,south
chartreuse morsel,$3.00 ,593,10/27/2020,east
chartreuse morsel,$3.00 ,548,10/27/2020,west
periwinkle morsel,$1.25 ,532,10/27/2020,north
periwinkle morsel,$1.25 ,531,10/27/2020,south
periwinkle morsel,$1.25 ,577,10/27/2020,east
periwinkle morsel,$1.25 ,587,10/27/2020,west
vermilion morsel,$4.99 ,555,10/27/2020,north
vermilion morsel,$4.99 ,571,10/27/2020,south
vermilion morsel,$4.99 ,514,10/27/2020,east
vermilion morsel,$4.99 ,598,10/27/2020,west
lapis morsel,$1.99 ,506,10/27/2020,north
lapis morsel,$1.99 ,575,10/27/2020,south
lapis morsel,$1.99 ,549,10/27/2020,east
lapis morsel,$1.99 ,558,10/27/2020,west
pink morsel,$3.00 ,582,10/28/2020,north
pink morsel,$3.00 ,529,10/28/2020,south
pink morsel,$3.00 ,548,10/28/2020,east
pink morsel,$3.00 ,577,10/28/2020,west
gold morsel,$9.99 ,586,10/28/2020,north
gold morsel,$9.99 ,502,10/28/2020,south
gold morsel,$9.99 ,590,10/28/2020,east
gold morsel,$9.99 ,549,10/28/2020,west
magenta morsel,$2.50 ,535,10/28/2020,north
magenta morsel,$2.50 ,567,10/28/2020,south
magenta morsel,$2.50 ,535,10/28/2020,east
magenta morsel,$2.50 ,597,10/28/2020,west
chartreuse morsel,$3.00 ,580,10/28/2020,north
chartreuse morsel,$3.00 ,509,10/28/2020,south
chartreuse morsel,$3.00 ,548,10/28/2020,east
chartreuse morsel,$3.00 ,513,10/28/2020,west
periwinkle morsel,$1.25 ,588,10/28/2020,north
periwinkle morsel,$1.25 ,530,10/28/2020,south
periwinkle morsel,$1.25 ,581,10/28/2020,east
periwinkle morsel,$1.25 ,588,10/28/2020,west
vermilion morsel,$4.99 ,547,10/28/2020,north
vermilion morsel,$4.99 ,547,10/28/2020,south
vermilion morsel,$4.99 ,516,10/28/2020,east
vermilion morsel,$4.99 ,588,10/28/2020,west
lapis morsel,$1.99 ,581,10/28/2020,north
lapis morsel,$1.99 ,520,10/28/2020,south
lapis morsel,$1.99 ,557,10/28/2020,east
lapis morsel,$1.99 ,526,10/28/2020,west
pink morsel,$3.00 ,590,10/29/2020,north
pink morsel,$3.00 ,564,10/29/2020,south
pink morsel,$3.00 ,519,10/29/2020,east
pink morsel,$3.00 ,508,10/29/2020,west
gold morsel,$9.99 ,575,10/29/2020,north
gold morsel,$9.99 ,553,10/29/2020,south
gold morsel,$9.99 ,551,10/29/2020,east
gold morsel,$9.99 ,584,10/29/2020,west
magenta morsel,$2.50 ,544,10/29/2020,north
magenta morsel,$2.50 ,550,10/29/2020,south
magenta morsel,$2.50 ,572,10/29/2020,east
magenta morsel,$2.50 ,571,10/29/2020,west
chartreuse morsel,$3.00 ,521,10/29/2020,north
chartreuse morsel,$3.00 ,521,10/29/2020,south
chartreuse morsel,$3.00 ,504,10/29/2020,east
chartreuse morsel,$3.00 ,591,10/29/2020,west
periwinkle morsel,$1.25 ,513,10/29/2020,north
periwinkle morsel,$1.25 ,509,10/29/2020,south
periwinkle morsel,$1.25 ,567,10/29/2020,east
periwinkle morsel,$1.25 ,585,10/29/2020,west
vermilion morsel,$4.99 ,594,10/29/2020,north
vermilion morsel,$4.99 ,516,10/29/2020,south
vermilion morsel,$4.99 ,583,10/29/2020,east
vermilion morsel,$4.99 ,593,10/29/2020,west
lapis morsel,$1.99 ,529,10/29/2020,north
lapis morsel,$1.99 ,515,10/29/2020,south
lapis morsel,$1.99 ,540,10/29/2020,east
lapis morsel,$1.99 ,522,10/29/2020,west
pink morsel,$3.00 ,591,10/30/2020,north
pink morsel,$3.00 ,563,10/30/2020,south
pink morsel,$3.00 ,592,10/30/2020,east
pink morsel,$3.00 ,562,10/30/2020,west
gold morsel,$9.99 ,550,10/30/2020,north
gold morsel,$9.99 ,599,10/30/2020,south
gold morsel,$9.99 ,546,10/30/2020,east
gold morsel,$9.99 ,582,10/30/2020,west
magenta morsel,$2.50 ,579,10/30/2020,north
magenta morsel,$2.50 ,546,10/30/2020,south
magenta morsel,$2.50 ,535,10/30/2020,east
magenta morsel,$2.50 ,522,10/30/2020,west
chartreuse morsel,$3.00 ,544,10/30/2020,north
chartreuse morsel,$3.00 ,522,10/30/2020,south
chartreuse morsel,$3.00 ,585,10/30/2020,east
chartreuse morsel,$3.00 ,552,10/30/2020,west
periwinkle morsel,$1.25 ,600,10/30/2020,north
periwinkle morsel,$1.25 ,599,10/30/2020,south
periwinkle morsel,$1.25 ,591,10/30/2020,east
periwinkle morsel,$1.25 ,593,10/30/2020,west
vermilion morsel,$4.99 ,580,10/30/2020,north
vermilion morsel,$4.99 ,583,10/30/2020,south
vermilion morsel,$4.99 ,522,10/30/2020,east
vermilion morsel,$4.99 ,517,10/30/2020,west
lapis morsel,$1.99 ,579,10/30/2020,north
lapis morsel,$1.99 ,594,10/30/2020,south
lapis morsel,$1.99 ,508,10/30/2020,east
lapis morsel,$1.99 ,599,10/30/2020,west
pink morsel,$3.00 ,527,10/31/2020,north
pink morsel,$3.00 ,586,10/31/2020,south
pink morsel,$3.00 ,585,10/31/2020,east
pink morsel,$3.00 ,556,10/31/2020,west
gold morsel,$9.99 ,513,10/31/2020,north
gold morsel,$9.99 ,520,10/31/2020,south
gold morsel,$9.99 ,598,10/31/2020,east
gold morsel,$9.99 ,534,10/31/2020,west
magenta morsel,$2.50 ,567,10/31/2020,north
magenta morsel,$2.50 ,575,10/31/2020,south
magenta morsel,$2.50 ,568,10/31/2020,east
magenta morsel,$2.50 ,557,10/31/2020,west
chartreuse morsel,$3.00 ,546,10/31/2020,north
chartreuse morsel,$3.00 ,545,10/31/2020,south
chartreuse morsel,$3.00 ,559,10/31/2020,east
chartreuse morsel,$3.00 ,558,10/31/2020,west
periwinkle morsel,$1.25 ,550,10/31/2020,north
periwinkle morsel,$1.25 ,530,10/31/2020,south
periwinkle morsel,$1.25 ,576,10/31/2020,east
periwinkle morsel,$1.25 ,527,10/31/2020,west
vermilion morsel,$4.99 ,562,10/31/2020,north
vermilion morsel,$4.99 ,554,10/31/2020,south
vermilion morsel,$4.99 ,503,10/31/2020,east
vermilion morsel,$4.99 ,504,10/31/2020,west
lapis morsel,$1.99 ,574,10/31/2020,north
lapis morsel,$1.99 ,567,10/31/2020,south
lapis morsel,$1.99 ,572,10/31/2020,east
lapis morsel,$1.99 ,588,10/31/2020,west
pink morsel,$3.00 ,555,11/01/2020,north
pink morsel,$3.00 ,517,11/01/2020,south
pink morsel,$3.00 ,590,11/01/2020,east
pink morsel,$3.00 ,531,11/01/2020,west
gold morsel,$9.99 ,506,11/01/2020,north
gold morsel,$9.99 ,541,11/01/2020,south
gold morsel,$9.99 ,538,11/01/2020,east
gold morsel,$9.99 ,501,11/01/2020,west
magenta morsel,$2.50 ,537,11/01/2020,north
magenta morsel,$2.50 ,596,11/01/2020,south
magenta morsel,$2.50 ,517,11/01/2020,east
magenta morsel,$2.50 ,586,11/01/2020,west
chartreuse morsel,$3.00 ,504,11/01/2020,north
chartreuse morsel,$3.00 ,572,11/01/2020,south
chartreuse morsel,$3.00 ,532,11/01/2020,east
chartreuse morsel,$3.00 ,559,11/01/2020,west
periwinkle morsel,$1.25 ,541,11/01/2020,north
